•ÈÀSeries Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],School enrollment
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,4.511159897,4.087910175,3.125610113,4.577469826,..,..,36.92462921
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Albania,ALB,..,3.23822999,3.108819962,3.268680096,..,..,..,..,..,..,..,..,#DIV/0!
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Algeria,DZA,..,..,..,..,4.33701992,..,..,..,..,..,..,..,#DIV/0!
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,#DIV/0!
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra,ADO,..,..,2.747989893,2.56317997,3.163290024,3.163870096,3.065799952,3.158890009,..,2.462579966,..,..,#DIV/0!
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola,AGO,..,2.607530117,2.859689951,..,..,..,3.476439953,..,..,..,..,..,11.98208332
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,2.554470062,..,..,..,..,..,..,87.6616389
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Argentina,ARG,1.06738,4.580309868,3.654989958,3.896349907,4.337820053,4.889999866,4.607769966,5.005290031,5.137589931,..,..,..,84.99783516
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Armenia,ARM,..,2.772730112,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,3.275239944,2.250149965,..,..,87.79139137
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Aruba,ABW,..,4.714680195,..,4.799180031,4.915589809,5.924670219,6.712490082,6.036870003,..,..,..,..,77.41251183
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Australia,AUS,4.67311,4.894249916,4.742879868,4.659019947,4.63338995,5.094200134,5.573550224,5.106080055,4.906410217,..,..,..,84.79172516
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Austria,AUT,4.96922,5.599559784,5.252930164,5.17663002,5.296979904,5.767399788,5.733200073,5.618609905,..,..,..,..,#DIV/0!
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Azerbaijan,AZE,..,3.853990078,2.555510044,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,..,..,..,..,86.31613159
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Bahamas, The",BHS,..,2.849989891,..,..,..,..,..,..,..,..,..,..,85.24719238
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bahrain,BHR,..,..,2.874360085,2.575000048,2.496779919,..,..,..,2.64470005,..,..,..,88.31691742
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bangladesh,BGD,1.57591,2.384419918,2.455359936,2.202219963,2.05456996,1.939419985,..,..,..,..,..,..,45.10463397
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Barbados,BRB,..,4.621590137,..,5.103559971,5.097929955,5.390429974,5.886779785,..,5.610380173,..,..,..,87.17183685
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belarus,BLR,..,6.196619987,6.076960087,5.152100086,..,4.516719818,5.410130024,4.843820095,5.121059895,5.276130199,..,..,95.12525177
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belgium,BEL,..,..,5.82776022,5.842999935,6.27368021,6.398449898,6.396669865,6.363890171,..,..,..,..,96.35221863
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belize,BLZ,..,5.029280186,..,..,5.687890053,6.100140095,6.620999813,..,..,..,..,..,69.33437157
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Benin,BEN,..,3.145910025,3.828880072,3.497980118,4.08137989,4.550799847,5.342380047,..,5.261429787,5.01267004,..,..,42.0298996
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bermuda,BMU,3.1362,..,..,..,..,2.615190029,2.6442101,..,..,..,1.782850027,..,66.20441246
