ï»¿Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],High-technology exports (current US$)
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,#DIV/0!
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Albania,ALB,..,..,..,0.087350003,0.153080001,..,..,..,..,..,..,..,5933003.444
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,7117948.333
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,#DIV/0!
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,9848056.5
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,#DIV/0!
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,431.5714286
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Argentina,ARG,..,0.438840002,0.494619995,0.507929981,0.523810029,0.595099986,0.617449999,0.64696002,..,..,..,..,1609103583
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Armenia,ARM,..,0.184630007,0.240569994,0.211070001,0.224380001,0.290930003,0.241390005,0.270139992,..,..,..,..,5433776.111
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,1849335.667
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Australia,AUS,..,1.573490024,2.188730001,..,2.407779932,..,2.385620117,..,..,..,..,..,3827216077
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,..,1.93245995,2.439280033,2.50632,2.669569969,2.707819939,2.798460007,2.765779972,2.836390018,..,..,..,14204686207
